surface_detail,collisions,ksi,ksi_per_100
Dry,371776,91510,24.61428386985712
Wet—damp,131404,34447,26.214574898785425
Snow,1347,310,23.01410541945063
Frost/ice,6341,1529,24.112915943857434
Flood,806,241,29.90074441687345
Other,8410,756,8.989298454221165
