speed_band2,contrast,RR,RR_low,RR_high,n0,n1
30–35,Dark vs Day,1.2548645004094192,1.2369641712688144,1.2730238684056225,207326,81634
40–45,Dark vs Day,1.303849923808243,1.2636981649857533,1.3452774332658202,31861,12942
50–55,Dark vs Day,1.1744317680896856,1.125987669456099,1.2249601086346906,15787,6087
60–65,Dark vs Day,1.078794913301845,1.0564690350124324,1.101592594194907,45906,17301
70+,Dark vs Day,1.288888126034705,1.240875523658189,1.3387584570415427,19572,9476
nan,Dark vs Day,2.5384615384615383,0.6852573435491679,9.403455567326105,66,26
≤25,Dark vs Day,1.1130525759882128,1.0763478903879704,1.1510089330573585,51294,20806
