year,dst_date,pre_ksi_per_100,post_ksi_per_100
2019,2019-03-31,23.364485981308412,23.340522405942966
2020,2020-03-29,26.258503401360546,26.67706708268331
2021,2021-03-28,22.98400261181848,24.714494875549047
2022,2022-03-27,26.84056557776694,24.865446716899893
2023,2023-03-26,23.58490566037736,25.497237569060772
