speed_band2,contrast,RR,RR_low,RR_high,n0,n1
30–35,Wet vs Dry,1.0856000804782318,1.0690191908771491,1.1024381459114316,216330,72630
40–45,Wet vs Dry,1.0499661022940603,1.0159506686096373,1.0851204197496045,31743,13060
50–55,Wet vs Dry,0.9801638083908298,0.9386865238798643,1.0234738294827923,15177,6697
60–65,Wet vs Dry,0.8784583891780097,0.8605130478081733,0.8967779669149764,40445,22762
70+,Wet vs Dry,0.9871386387512614,0.9487906038661298,1.0270366170839347,19125,9923
nan,Wet vs Dry,0.45454545454545453,0.05911407482647033,3.495133280093501,70,22
≤25,Wet vs Dry,1.0470134458576537,1.0079845384406183,1.0875535427384917,57296,14804
