urban_rural2,contrast,RR,RR_low,RR_high,n0,n1
Rural,Dark vs Day,1.1804186671733108,1.1632137252947132,1.1978780850941084,122492,45367
Unknown,Dark vs Day,1.1180555555555556,0.5338438378939939,2.3415990530865054,69,24
Urban,Dark vs Day,1.2441929026862193,1.2276711056295517,1.260937047386918,249251,102881
