lad2,month,collisions,ksi,share_dark,share_wet,ksi_rate
110,2019-11,32,2,0.375,0.5625,0.0625
110,2019-12,22,4,0.7727272727272727,0.6818181818181818,0.18181818181818182
110,2020-01,21,4,0.5714285714285714,0.38095238095238093,0.19047619047619047
110,2020-02,20,5,0.35,0.6,0.25
110,2020-03,11,0,0.18181818181818182,0.5454545454545454,0.0
110,2020-04,6,0,0.0,0.0,0.0
110,2020-05,11,4,0.0,0.09090909090909091,0.36363636363636365
110,2020-06,13,1,0.07692307692307693,0.07692307692307693,0.07692307692307693
110,2020-07,12,5,0.25,0.16666666666666666,0.4166666666666667
110,2020-08,8,3,0.125,0.0,0.375
110,2020-09,20,3,0.2,0.1,0.15
110,2020-10,10,2,0.2,0.3,0.2
110,2020-11,19,8,0.3684210526315789,0.3157894736842105,0.42105263157894735
110,2020-12,16,7,0.5625,0.5625,0.4375
112,2019-01,21,4,0.42857142857142855,0.42857142857142855,0.19047619047619047
112,2019-02,15,3,0.4666666666666667,0.2,0.2
112,2019-03,19,3,0.10526315789473684,0.10526315789473684,0.15789473684210525
112,2019-04,16,2,0.0625,0.25,0.125
112,2019-05,30,9,0.06666666666666667,0.1,0.3
112,2019-06,20,2,0.05,0.35,0.1
112,2019-07,24,3,0.041666666666666664,0.16666666666666666,0.125
112,2019-08,17,5,0.058823529411764705,0.17647058823529413,0.29411764705882354
112,2019-09,24,5,0.3333333333333333,0.2916666666666667,0.20833333333333334
112,2019-10,30,3,0.3333333333333333,0.3333333333333333,0.1
112,2019-11,29,7,0.5172413793103449,0.4482758620689655,0.2413793103448276
112,2019-12,31,10,0.6451612903225806,0.6129032258064516,0.3225806451612903
112,2020-01,16,6,0.375,0.5625,0.375
112,2020-02,12,2,0.5833333333333334,0.5833333333333334,0.16666666666666666
112,2020-03,17,2,0.23529411764705882,0.29411764705882354,0.11764705882352941
112,2020-04,9,5,0.1111111111111111,0.0,0.5555555555555556
112,2020-05,14,4,0.0,0.0,0.2857142857142857
