contrast,p1,p0,RR,RR_95CI_low,RR_95CI_high,n1_collisions,n1_ksi,n0_collisions,n0_ksi
Darkness vs Daylight,0.2817591993093774,0.23403225285897175,1.2039332009471615,1.1919621009769028,1.2160245289300227,148272,41777,371812,87016
Wet/Adverse vs Dry,0.2610973709416861,0.24268647451510578,1.0758628863160413,1.0646765893900443,1.0871667149320967,139898,36527,380186,92266
